"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"128",0.7,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00507707048962519
"129",0.8,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-2.60919495890344e-06
"130",0.8,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.02054546677082e-05
"131",0.8,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101010337063722
"132",0.8,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00513134025808152
"133",0.8,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.52109847222797e-06
"134",0.8,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.10656445973059e-05
"135",0.8,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101051708396201
"136",0.8,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00513131212174483
"137",0.8,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-6.05695818725241e-06
"138",0.8,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.29762403688297e-05
"139",0.8,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101113678009174
"140",0.8,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00512976159269393
"141",0.8,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-6.64089740380445e-06
"142",0.8,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.32260682440158e-05
"143",0.8,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100760861154554
"144",0.8,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00512408858654895
"145",0.9,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.76148678363895e-06
"146",0.9,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.75427036202423e-05
"147",0.9,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101689015188567
"148",0.9,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00524678538788337
"149",0.9,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-4.28754114815645e-06
"150",0.9,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.79700434443516e-05
"151",0.9,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101712666461863
"152",0.9,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.0052465926522114
"153",0.9,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-6.14991535180826e-06
"154",0.9,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.89474412177558e-05
"155",0.9,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101751285668166
"156",0.9,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00524464564056234
"157",0.9,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-6.86234463423386e-06
"158",0.9,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.9071528120941e-05
"159",0.9,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101391233090868
"160",0.9,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00523859306276545
