"","beta","r","h","s","invSelAdv"
"145",0.9,0.001,0,0.01,-7.70885321912645e-06
"146",0.9,0.001,0,0.05,-4.91373322068153e-06
"147",0.9,0.001,0.1,0.01,-0.00100233773452721
"148",0.9,0.001,0.1,0.05,-0.00501062005034282
"149",0.9,0.01,0,0.01,-6.13241911358544e-06
"150",0.9,0.01,0,0.05,-4.34658117644388e-06
"151",0.9,0.01,0.1,0.01,-0.00100317265976234
"152",0.9,0.01,0.1,0.05,-0.00500962990131079
"153",0.9,0.1,0,0.01,-2.34915230859162e-06
"154",0.9,0.1,0,0.05,-2.44310170874516e-06
"155",0.9,0.1,0.1,0.01,-0.00100090142904043
"156",0.9,0.1,0.1,0.05,-0.00500853458323445
"157",0.9,0.5,0,0.01,-1.18576141277835e-06
"158",0.9,0.5,0,0.05,-1.5172435203133e-06
"159",0.9,0.5,0.1,0.01,-0.00100025071680163
"160",0.9,0.5,0.1,0.05,-0.00500859993303244
